Long,Lat,Observer,GeneralCondition,Species,OtherSpecies,TreeHeight,LengthCWD,CrownDensity,DeadBranches,EpicormicGrowth,EpicormicPostFire,NoHollows,LeafDiscolouration,AvgPsyllidTree,AvgPsyllidRegen,PresenceTreeShrubs,PresenceReproduction,Comments,PlotID,TreeID,GlobalID,NoMistletoe,DeadTrees,CreationDate,Creator,EditDate,Editor,DateCreated,TreeDriplineDiagram,TreeHeight_m,TreeReproduction,Planted,Tenure,Crown_Density,username,TreeDBH1,TreeDBH2,TreeDBH3,TreeDBH4,TreeDBH5,TreeDBH6,TreeDBH7,TreeDBH8,TreeDBH9,TreeDBH10,TreeDBH11,TreeDBH12,TreeDBH13,TreeDBH14,TreeDBH15,TreeDBH16,TreeDBH17,TreeDBH18,TreeDBH19,TreeDBH20,LeafDiscolour_YellowGrey,CreationDate_1,Creator_1,EditDate_1,Editor_1,LeafDam_Other
149.18401719795125,-35.18783299070284,Emily Sutcliffe,Very Bad,Eucalyptus blakelyi, ,,0,1,1,1,,0,No,1,1,37,Yes, 10% leaves grey yellow discoloured. ,15083,,{6F6D1C80-5BB9-4B49-A607-162869999C7F},0,0,,,,,2021-05-17 06:03:15,,0.0,No,No,Nature Reserve,1,,35.0,12.0,,,,,,,,,,,,,,,,,,,,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-20 10:50:29,jennifer.smits_ACTGOV,
149.18310693504688,-35.18705609472895,Emily Sutcliffe,Very Bad,Eucalyptus blakelyi, ,,0,2,2,1,,0,Yes,4,4,48,Yes, ,15207,,{50EF18E9-8E6A-4D65-A284-4970C72BCCB9},0,0,,,,,2021-05-17 05:45:57,,0.0,No,No,Nature Reserve,2,,8.5,,,,,,,,,,,,,,,,,,,,,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-20 10:50:29,jennifer.smits_ACTGOV,
149.19239215075962,-35.18687927463681,Emily Sutcliffe,Very Good,Eucalyptus melliodora, ,,0,5,3,5,,0,No,0,,28,Yes, ,15213,,{FC7683B8-9EF5-4A2C-921B-A72E72C506B4},0,0,,,,,2021-05-17 04:32:27,,0.0,Yes,No,Nature Reserve,5,,21.0,,,,,,,,,,,,,,,,,,,,,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-20 10:50:29,jennifer.smits_ACTGOV,
149.18183558887463,-35.185916086993394,Emily Sutcliffe,Moderate,Eucalyptus blakelyi, ,,0,1,2,2,,0,No,2,1,36,Yes," 25% leaves discoloured grey, yellow - old psyllid damage.",15457,,{3F70F573-8E12-409B-B043-6AF3EEA51A6B},0,0,,,,,2021-05-17 05:29:29,,0.0,No,No,Nature Reserve,1,,11.5,,,,,,,,,,,,,,,,,,,,,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-20 10:50:29,jennifer.smits_ACTGOV,
149.18773055106303,-35.18544008447387,Emily Sutcliffe,Good,Eucalyptus melliodora, ,,0,4,2,3,,0,No,0,2,105,Yes,"10% leaves damaged, eaten around outside, galls.",15518,,{FF57F677-C780-4697-8C3C-80ED0A5234C2},0,0,,,,,2021-05-17 04:16:34,,0.0,Yes,No,Nature Reserve,4,,33.0,,,,,,,,,,,,,,,,,,,,,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-20 10:50:29,jennifer.smits_ACTGOV,
149.17579938479415,-35.18562807101325,Emily Sutcliffe,Good,Eucalyptus blakelyi, ,,0,5,2,1,,0,No,0,1,22,Yes,"Unusual blakelyi. Dense regrowth with large blue leaves, mostly glaucous numerous buds on an umbel. ",15520,,{8CBD46FD-50D8-4E98-9A48-6863FB25D4FF},0,0,,,,,2021-05-21 02:00:00,,0.0,Yes,No,Nature Reserve,5,,28.0,26.0,21.5,,,,,,,,,,,,,,,,,,No,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-24 01:22:48,emily.sutcliffe_ACTGOV,
149.17293945160347,-35.180495829628725,Emily Sutcliffe,Moderate,Eucalyptus blakelyi, ,,1,4,1,1,,0,No,1,,17,Yes, ,15950,,{B5DA0BEC-7392-496E-9900-D019D079386C},0,0,,,,,2021-05-18 06:00:55.000001,,0.0,Yes,No,Nature Reserve,4,,52.5,49.0,35.0,29.0,,,,,,,,,,,,,,,,,,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-20 10:50:29,jennifer.smits_ACTGOV,
149.17318947603667,-35.18040119205596,Emily Sutcliffe,Very Good,Eucalyptus blakelyi, ,,0,4,2,5,,0,No,0,3,7,Yes, ,15959,,{AF1F0697-AE0D-4A32-AA79-C57FCA7D1365},0,0,,,,,2021-05-18 05:53:50.000001,,0.0,Yes,No,Nature Reserve,4,,52.0,,,,,,,,,,,,,,,,,,,,,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-20 10:50:29,jennifer.smits_ACTGOV,
149.1826172827977,-35.17983493334401,Emily Sutcliffe,Bad,Eucalyptus melliodora, ,,0,3,2,3,,0,No,0,,34,Yes, Not sure if this is the same tree. But there are no other trees within 7m.,16002,,{A76B2EF8-A7B1-400A-AF53-51F57E781BAF},0,0,,,,,2021-05-17 03:30:45,,0.0,No,No,Nature Reserve,3,,31.5,,,,,,,,,,,,,,,,,,,,,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-20 10:50:29,jennifer.smits_ACTGOV,
149.18527196730977,-35.17892160919892,Emily Sutcliffe,Moderate,Eucalyptus macrorhyncha, ,,0,2,1,4,,0,No,0,1,55,Yes, Very healthy leaves. Looks like it’s coming back from the dead.,16106,,{5CFD0FEA-A614-4282-A25A-B6ECBAA99B0B},0,0,,,,,2021-05-17 03:45:00,,0.0,No,No,Nature Reserve,2,,73.5,,,,,,,,,,,,,,,,,,,,,2021-05-20 10:50:29,jennifer.smits_ACTGOV,2021-05-20 10:50:29,jennifer.smits_ACTGOV,
